epoch,train_loss,train_acc,train_auc_roc,train_auc_prc,val_loss,val_acc,val_auc_roc,val_auc_prc
1,0.6834476712217098,0.5615791986803838,0.5906755061884674,0.5758955523238463,0.6447060583803395,0.6114921247522687,0.6634397736537787,0.6485681908793083
2,0.6172022152563844,0.6489950948474194,0.7097440571928987,0.6890901078624305,0.5942520493447402,0.6769192656722646,0.7430484511253542,0.7172003052478607
3,0.5726984032135889,0.6935191214133785,0.7647110838672667,0.7438509692074581,0.5619324150592279,0.6985240429748618,0.7753296100799898,0.7552519319027511
4,0.5464485908747909,0.7167252680470547,0.791518509655438,0.7706492668212629,0.5447917920252174,0.7122666110357776,0.797618165178044,0.7803576078613138
5,0.5286845997999841,0.7301992446933194,0.8072221606341451,0.7861568499191407,0.5207677498480022,0.7374178575153855,0.8148071112338561,0.7968017866203821
6,0.5109406621038963,0.7440899422667883,0.8223742000024876,0.8014365088413663,0.5085561082374817,0.7479529571294461,0.8249570643774384,0.8049089600407634
7,0.5007677925524625,0.7510786994834396,0.8303214748953289,0.8103377703378473,0.5021823608578091,0.752698967351622,0.8320311528862365,0.8128501381274538
8,0.49166103776049663,0.7585145635282372,0.8376942771584327,0.8173781157563814,0.49299489575804145,0.7595832898717013,0.8381274491946622,0.8163768640259303
9,0.48322075195557157,0.7646308113035551,0.8442445796495406,0.8240070722775276,0.48875644808642693,0.762204026285595,0.8403206518066492,0.821481020873611
10,0.4759919356388025,0.7709727829144419,0.8495197404710653,0.8294770236314452,0.47029554826494324,0.7747861687702097,0.8541337048245234,0.8348649751196136
11,0.46703348078107587,0.7764552676129705,0.8558037067972711,0.836307230909018,0.4681969444048197,0.7780327526859289,0.8563810143804027,0.836084525743452
12,0.45826447770564194,0.7822416113209185,0.8617005587164456,0.8418249636306571,0.46239321537978756,0.7789584854490456,0.8605399879256541,0.8404503546992426
13,0.4537116755499796,0.7853453140599904,0.8647279818568478,0.845642153581661,0.45697757600494526,0.7809664128507354,0.8627437252346898,0.8420929653988254
14,0.44833394624129524,0.7893085037114208,0.8683979143158596,0.849187984894464,0.4541876478091736,0.7839652654636486,0.8647957117695572,0.8473162861860781
15,0.44232094594576077,0.7924382515084429,0.8722572581219096,0.8540757073870134,0.439974138218083,0.7932877855429227,0.8744394646278384,0.8577768803794071
16,0.4365563573401365,0.7959977427616444,0.8758966278957238,0.8579842142552574,0.44019215124621064,0.794917596745593,0.8747338176771596,0.8580111194975643
17,0.4320614034981965,0.7994790988409949,0.8786824036536314,0.8599863338382528,0.43222502314461225,0.8006675706686137,0.8790718491118251,0.8631293830882747
